,scientific_name,park_name,total_observations,category,common_names,conservation_status
7177,Eleocharis,Great Smoky Mountains National Park,58,Vascular Plant,"Spikerush, Spikesedge",
7178,Eleocharis,Yellowstone National Park,212,Vascular Plant,"Spikerush, Spikesedge",
7179,Eleocharis,Yosemite National Park,191,Vascular Plant,"Spikerush, Spikesedge",
7180,Eleocharis acicularis,Bryce National Park,197,Vascular Plant,"Needle Spikerush, Needle Spikesedge",
7181,Eleocharis acicularis,Great Smoky Mountains National Park,171,Vascular Plant,"Needle Spikerush, Needle Spikesedge",
7182,Eleocharis acicularis,Yellowstone National Park,501,Vascular Plant,"Needle Spikerush, Needle Spikesedge",
7183,Eleocharis acicularis,Yosemite National Park,357,Vascular Plant,"Needle Spikerush, Needle Spikesedge",
7184,Eleocharis acicularis var. acicularis,Bryce National Park,46,Vascular Plant,"Needle Spikerush, Needle Spike-Rush",
7185,Eleocharis acicularis var. acicularis,Great Smoky Mountains National Park,50,Vascular Plant,"Needle Spikerush, Needle Spike-Rush",
7186,Eleocharis acicularis var. acicularis,Yellowstone National Park,241,Vascular Plant,"Needle Spikerush, Needle Spike-Rush",
7187,Eleocharis acicularis var. acicularis,Yosemite National Park,134,Vascular Plant,"Needle Spikerush, Needle Spike-Rush",
7188,Eleocharis bolanderi,Bryce National Park,90,Vascular Plant,Bolander's Spikerush,
7189,Eleocharis bolanderi,Great Smoky Mountains National Park,76,Vascular Plant,Bolander's Spikerush,
7190,Eleocharis bolanderi,Yellowstone National Park,229,Vascular Plant,Bolander's Spikerush,
7191,Eleocharis bolanderi,Yosemite National Park,146,Vascular Plant,Bolander's Spikerush,
7192,Eleocharis decumbens,Bryce National Park,92,Vascular Plant,Decumbent Spikerush,
7193,Eleocharis decumbens,Great Smoky Mountains National Park,83,Vascular Plant,Decumbent Spikerush,
7194,Eleocharis decumbens,Yellowstone National Park,239,Vascular Plant,Decumbent Spikerush,
7195,Eleocharis decumbens,Yosemite National Park,148,Vascular Plant,Decumbent Spikerush,
7196,Eleocharis flavescens var. thermalis,Bryce National Park,126,Vascular Plant,Yellow Spikerush,
7197,Eleocharis flavescens var. thermalis,Great Smoky Mountains National Park,81,Vascular Plant,Yellow Spikerush,
7198,Eleocharis flavescens var. thermalis,Yellowstone National Park,240,Vascular Plant,Yellow Spikerush,
7199,Eleocharis flavescens var. thermalis,Yosemite National Park,156,Vascular Plant,Yellow Spikerush,
7200,Eleocharis macrostachya,Bryce National Park,70,Vascular Plant,Pale Spikerush,
7201,Eleocharis macrostachya,Great Smoky Mountains National Park,90,Vascular Plant,Pale Spikerush,
7202,Eleocharis macrostachya,Yellowstone National Park,246,Vascular Plant,Pale Spikerush,
7203,Eleocharis macrostachya,Yosemite National Park,180,Vascular Plant,Pale Spikerush,
7204,Eleocharis microcarpa,Bryce National Park,103,Vascular Plant,Smallfruit Spikerush,
7205,Eleocharis microcarpa,Great Smoky Mountains National Park,116,Vascular Plant,Smallfruit Spikerush,
7206,Eleocharis microcarpa,Yellowstone National Park,216,Vascular Plant,Smallfruit Spikerush,
7207,Eleocharis microcarpa,Yosemite National Park,184,Vascular Plant,Smallfruit Spikerush,
7208,Eleocharis obtusa,Bryce National Park,72,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",
7209,Eleocharis obtusa,Great Smoky Mountains National Park,45,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",
7210,Eleocharis obtusa,Yellowstone National Park,271,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",
7211,Eleocharis obtusa,Yosemite National Park,165,Vascular Plant,"Blunt Spike-Rush, Spike-Rush",
7212,Eleocharis palustris,Bryce National Park,183,Vascular Plant,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",
7213,Eleocharis palustris,Great Smoky Mountains National Park,124,Vascular Plant,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",
7214,Eleocharis palustris,Yellowstone National Park,518,Vascular Plant,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",
7215,Eleocharis palustris,Yosemite National Park,299,Vascular Plant,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",
7216,Eleocharis parishii,Bryce National Park,87,Vascular Plant,"Parish Spikerush, Parish's Spikerush",
7217,Eleocharis parishii,Great Smoky Mountains National Park,75,Vascular Plant,"Parish Spikerush, Parish's Spikerush",
7218,Eleocharis parishii,Yellowstone National Park,271,Vascular Plant,"Parish Spikerush, Parish's Spikerush",
7219,Eleocharis parishii,Yosemite National Park,183,Vascular Plant,"Parish Spikerush, Parish's Spikerush",
7220,Eleocharis quadrangulata,Bryce National Park,108,Vascular Plant,Squarestem Spikerush,
7221,Eleocharis quadrangulata,Great Smoky Mountains National Park,110,Vascular Plant,Squarestem Spikerush,
7222,Eleocharis quadrangulata,Yellowstone National Park,243,Vascular Plant,Squarestem Spikerush,
7223,Eleocharis quadrangulata,Yosemite National Park,169,Vascular Plant,Squarestem Spikerush,
7224,Eleocharis quinqueflora,Bryce National Park,106,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
7225,Eleocharis quinqueflora,Great Smoky Mountains National Park,43,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
7226,Eleocharis quinqueflora,Yellowstone National Park,243,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
7227,Eleocharis quinqueflora,Yosemite National Park,142,Vascular Plant,"Fewflower Spikerush, Few-Flower Spikerush, Few-Flower Spike-Rush, Fewflowered Spikesedge",
7228,Eleocharis rostellata,Bryce National Park,116,Vascular Plant,"Beaked Spikerush, Beaked Spike-Rush, Beaked Spikesedge",
7229,Eleocharis rostellata,Great Smoky Mountains National Park,64,Vascular Plant,"Beaked Spikerush, Beaked Spike-Rush, Beaked Spikesedge",
7230,Eleocharis rostellata,Yellowstone National Park,249,Vascular Plant,"Beaked Spikerush, Beaked Spike-Rush, Beaked Spikesedge",
7231,Eleocharis rostellata,Yosemite National Park,150,Vascular Plant,"Beaked Spikerush, Beaked Spike-Rush, Beaked Spikesedge",
7232,Eleocharis tenuis var. verrucosa,Bryce National Park,108,Vascular Plant,Slender Spikerush,
7233,Eleocharis tenuis var. verrucosa,Great Smoky Mountains National Park,61,Vascular Plant,Slender Spikerush,
7234,Eleocharis tenuis var. verrucosa,Yellowstone National Park,291,Vascular Plant,Slender Spikerush,
7235,Eleocharis tenuis var. verrucosa,Yosemite National Park,143,Vascular Plant,Slender Spikerush,
7236,Eleocharis tuberculosa,Bryce National Park,60,Vascular Plant,Cone-Cup Spikerush,
7237,Eleocharis tuberculosa,Great Smoky Mountains National Park,83,Vascular Plant,Cone-Cup Spikerush,
7238,Eleocharis tuberculosa,Yellowstone National Park,252,Vascular Plant,Cone-Cup Spikerush,
7239,Eleocharis tuberculosa,Yosemite National Park,145,Vascular Plant,Cone-Cup Spikerush,
7240,Elephantopus carolinianus,Bryce National Park,59,Vascular Plant,"Carolina Elephant-Foot, Carolina Tobaccoweed",
7241,Elephantopus carolinianus,Great Smoky Mountains National Park,85,Vascular Plant,"Carolina Elephant-Foot, Carolina Tobaccoweed",
7242,Elephantopus carolinianus,Yellowstone National Park,222,Vascular Plant,"Carolina Elephant-Foot, Carolina Tobaccoweed",
7243,Elephantopus carolinianus,Yosemite National Park,160,Vascular Plant,"Carolina Elephant-Foot, Carolina Tobaccoweed",
7244,Elephantopus tomentosus,Bryce National Park,96,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",
7245,Elephantopus tomentosus,Great Smoky Mountains National Park,67,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",
7246,Elephantopus tomentosus,Yellowstone National Park,267,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",
7247,Elephantopus tomentosus,Yosemite National Park,131,Vascular Plant,"Hairy Tobaccoweed, Tobaccoweed",
7248,Eleusine indica,Bryce National Park,117,Vascular Plant,"India Goosegrass, Wiregrass",
7249,Eleusine indica,Great Smoky Mountains National Park,49,Vascular Plant,"India Goosegrass, Wiregrass",
7250,Eleusine indica,Yellowstone National Park,253,Vascular Plant,"India Goosegrass, Wiregrass",
7251,Eleusine indica,Yosemite National Park,146,Vascular Plant,"India Goosegrass, Wiregrass",
7252,Elgaria coerulea palmeri,Bryce National Park,115,Reptile,Sierra (Northern) Alligator Lizard,
7253,Elgaria coerulea palmeri,Great Smoky Mountains National Park,98,Reptile,Sierra (Northern) Alligator Lizard,
7254,Elgaria coerulea palmeri,Yellowstone National Park,269,Reptile,Sierra (Northern) Alligator Lizard,
7255,Elgaria coerulea palmeri,Yosemite National Park,122,Reptile,Sierra (Northern) Alligator Lizard,
7256,Elgaria multicarinata webbii,Bryce National Park,72,Reptile,San Diego (Southern) Alligator Lizard,
7257,Elgaria multicarinata webbii,Great Smoky Mountains National Park,70,Reptile,San Diego (Southern) Alligator Lizard,
7258,Elgaria multicarinata webbii,Yellowstone National Park,232,Reptile,San Diego (Southern) Alligator Lizard,
7259,Elgaria multicarinata webbii,Yosemite National Park,157,Reptile,San Diego (Southern) Alligator Lizard,
7260,Ellisia nyctelea,Bryce National Park,94,Vascular Plant,"Aunt Lucy, False Babyblueeyes, Waterpod",
7261,Ellisia nyctelea,Great Smoky Mountains National Park,85,Vascular Plant,"Aunt Lucy, False Babyblueeyes, Waterpod",
7262,Ellisia nyctelea,Yellowstone National Park,190,Vascular Plant,"Aunt Lucy, False Babyblueeyes, Waterpod",
7263,Ellisia nyctelea,Yosemite National Park,145,Vascular Plant,"Aunt Lucy, False Babyblueeyes, Waterpod",
7264,Elodea canadensis,Bryce National Park,93,Vascular Plant,"Broad Waterweed, Canada Waterweed, Canadian Waterweed",
7265,Elodea canadensis,Great Smoky Mountains National Park,102,Vascular Plant,"Broad Waterweed, Canada Waterweed, Canadian Waterweed",
7266,Elodea canadensis,Yellowstone National Park,222,Vascular Plant,"Broad Waterweed, Canada Waterweed, Canadian Waterweed",
7267,Elodea canadensis,Yosemite National Park,182,Vascular Plant,"Broad Waterweed, Canada Waterweed, Canadian Waterweed",
7268,Elodea nuttallii,Bryce National Park,213,Vascular Plant,Western Waterweed,
7269,Elodea nuttallii,Great Smoky Mountains National Park,167,Vascular Plant,Western Waterweed,
7270,Elodea nuttallii,Yellowstone National Park,503,Vascular Plant,Western Waterweed,
7271,Elodea nuttallii,Yosemite National Park,329,Vascular Plant,Western Waterweed,
7272,Elsholtzia ciliata,Bryce National Park,106,Vascular Plant,Crested Latesummer Mint,
7273,Elsholtzia ciliata,Great Smoky Mountains National Park,53,Vascular Plant,Crested Latesummer Mint,
7274,Elsholtzia ciliata,Yellowstone National Park,255,Vascular Plant,Crested Latesummer Mint,
7275,Elsholtzia ciliata,Yosemite National Park,167,Vascular Plant,Crested Latesummer Mint,
7276,Elymus canadensis var. canadensis,Bryce National Park,106,Vascular Plant,Canada Wildrye,
7277,Elymus canadensis var. canadensis,Great Smoky Mountains National Park,49,Vascular Plant,Canada Wildrye,
7278,Elymus canadensis var. canadensis,Yellowstone National Park,243,Vascular Plant,Canada Wildrye,
7279,Elymus canadensis var. canadensis,Yosemite National Park,161,Vascular Plant,Canada Wildrye,
7280,Elymus elymoides ssp. californicus,Bryce National Park,93,Vascular Plant,Squirreltail,
7281,Elymus elymoides ssp. californicus,Great Smoky Mountains National Park,45,Vascular Plant,Squirreltail,
7282,Elymus elymoides ssp. californicus,Yellowstone National Park,239,Vascular Plant,Squirreltail,
7283,Elymus elymoides ssp. californicus,Yosemite National Park,126,Vascular Plant,Squirreltail,
7284,Elymus elymoides ssp. elymoides,Bryce National Park,103,Vascular Plant,"Bottlebrush Squirreltail, Squirreltail",
7285,Elymus elymoides ssp. elymoides,Great Smoky Mountains National Park,97,Vascular Plant,"Bottlebrush Squirreltail, Squirreltail",
7286,Elymus elymoides ssp. elymoides,Yellowstone National Park,208,Vascular Plant,"Bottlebrush Squirreltail, Squirreltail",
7287,Elymus elymoides ssp. elymoides,Yosemite National Park,156,Vascular Plant,"Bottlebrush Squirreltail, Squirreltail",
7288,Elymus glaucus,Bryce National Park,116,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7289,Elymus glaucus,Great Smoky Mountains National Park,91,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7290,Elymus glaucus,Yellowstone National Park,246,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7291,Elymus glaucus,Yosemite National Park,149,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7292,Elymus glaucus ssp. glaucus,Bryce National Park,70,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7293,Elymus glaucus ssp. glaucus,Great Smoky Mountains National Park,56,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7294,Elymus glaucus ssp. glaucus,Yellowstone National Park,236,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7295,Elymus glaucus ssp. glaucus,Yosemite National Park,178,Vascular Plant,"Blue Wild Rye, Blue Wildrye",
7296,Elymus glaucus ssp. jepsonii,Bryce National Park,101,Vascular Plant,Jepson's Blue Wildrye,
7297,Elymus glaucus ssp. jepsonii,Great Smoky Mountains National Park,95,Vascular Plant,Jepson's Blue Wildrye,
7298,Elymus glaucus ssp. jepsonii,Yellowstone National Park,257,Vascular Plant,Jepson's Blue Wildrye,
7299,Elymus glaucus ssp. jepsonii,Yosemite National Park,161,Vascular Plant,Jepson's Blue Wildrye,
7300,Elymus hystrix var. hystrix,Bryce National Park,106,Vascular Plant,Eastern Bottlebrush Grass,
7301,Elymus hystrix var. hystrix,Great Smoky Mountains National Park,89,Vascular Plant,Eastern Bottlebrush Grass,
7302,Elymus hystrix var. hystrix,Yellowstone National Park,234,Vascular Plant,Eastern Bottlebrush Grass,
7303,Elymus hystrix var. hystrix,Yosemite National Park,166,Vascular Plant,Eastern Bottlebrush Grass,
7304,Elymus multisetus,Bryce National Park,114,Vascular Plant,"Big Squirreltail, Big Wild Rye",
7305,Elymus multisetus,Great Smoky Mountains National Park,39,Vascular Plant,"Big Squirreltail, Big Wild Rye",
7306,Elymus multisetus,Yellowstone National Park,256,Vascular Plant,"Big Squirreltail, Big Wild Rye",
7307,Elymus multisetus,Yosemite National Park,137,Vascular Plant,"Big Squirreltail, Big Wild Rye",
7308,Elymus repens,Bryce National Park,127,Vascular Plant,Quackgrass,
7309,Elymus repens,Great Smoky Mountains National Park,76,Vascular Plant,Quackgrass,
7310,Elymus repens,Yellowstone National Park,257,Vascular Plant,Quackgrass,
7311,Elymus repens,Yosemite National Park,128,Vascular Plant,Quackgrass,
7312,Elymus riparius,Bryce National Park,100,Vascular Plant,"River Wild-Rye, Wild Rye",
7313,Elymus riparius,Great Smoky Mountains National Park,72,Vascular Plant,"River Wild-Rye, Wild Rye",
7314,Elymus riparius,Yellowstone National Park,220,Vascular Plant,"River Wild-Rye, Wild Rye",
7315,Elymus riparius,Yosemite National Park,158,Vascular Plant,"River Wild-Rye, Wild Rye",
7316,Elymus scribneri,Bryce National Park,102,Vascular Plant,"Scribner's Wild Rye, Scribner's Wildrye, Spreading Wheatgrass",
7317,Elymus scribneri,Great Smoky Mountains National Park,97,Vascular Plant,"Scribner's Wild Rye, Scribner's Wildrye, Spreading Wheatgrass",
7318,Elymus scribneri,Yellowstone National Park,242,Vascular Plant,"Scribner's Wild Rye, Scribner's Wildrye, Spreading Wheatgrass",
7319,Elymus scribneri,Yosemite National Park,138,Vascular Plant,"Scribner's Wild Rye, Scribner's Wildrye, Spreading Wheatgrass",
7320,Elymus sierrae,Bryce National Park,96,Vascular Plant,Sierra Wildrye,
7321,Elymus sierrae,Great Smoky Mountains National Park,52,Vascular Plant,Sierra Wildrye,
7322,Elymus sierrae,Yellowstone National Park,252,Vascular Plant,Sierra Wildrye,
7323,Elymus sierrae,Yosemite National Park,145,Vascular Plant,Sierra Wildrye,
7324,Elymus stebbinsii,Bryce National Park,130,Vascular Plant,Parish Wheatgrass,
7325,Elymus stebbinsii,Great Smoky Mountains National Park,49,Vascular Plant,Parish Wheatgrass,
7326,Elymus stebbinsii,Yellowstone National Park,275,Vascular Plant,Parish Wheatgrass,
7327,Elymus stebbinsii,Yosemite National Park,148,Vascular Plant,Parish Wheatgrass,
7328,Elymus trachycaulus ssp. subsecundus,Bryce National Park,129,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",
7329,Elymus trachycaulus ssp. subsecundus,Great Smoky Mountains National Park,58,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",
7330,Elymus trachycaulus ssp. subsecundus,Yellowstone National Park,262,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",
7331,Elymus trachycaulus ssp. subsecundus,Yosemite National Park,146,Vascular Plant,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",
7332,Elymus trachycaulus ssp. trachycaulus,Bryce National Park,85,Vascular Plant,Slender Wheatgrass,
7333,Elymus trachycaulus ssp. trachycaulus,Great Smoky Mountains National Park,57,Vascular Plant,Slender Wheatgrass,
7334,Elymus trachycaulus ssp. trachycaulus,Yellowstone National Park,242,Vascular Plant,Slender Wheatgrass,
7335,Elymus trachycaulus ssp. trachycaulus,Yosemite National Park,151,Vascular Plant,Slender Wheatgrass,
7336,Elymus trachycaulus var. trachycaulus,Bryce National Park,135,Vascular Plant,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",
7337,Elymus trachycaulus var. trachycaulus,Great Smoky Mountains National Park,77,Vascular Plant,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",
7338,Elymus trachycaulus var. trachycaulus,Yellowstone National Park,272,Vascular Plant,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",
7339,Elymus trachycaulus var. trachycaulus,Yosemite National Park,149,Vascular Plant,"Bearded Wheatgrass, Rye Grass, Slender Wheatgrass, Wheatgrass",
7340,Elymus villosus,Bryce National Park,100,Vascular Plant,Hairy Wildrye,
7341,Elymus villosus,Great Smoky Mountains National Park,101,Vascular Plant,Hairy Wildrye,
7342,Elymus villosus,Yellowstone National Park,272,Vascular Plant,Hairy Wildrye,
7343,Elymus villosus,Yosemite National Park,123,Vascular Plant,Hairy Wildrye,
7344,Elymus virginicus var. virginicus,Bryce National Park,95,Vascular Plant,Virginia Wildrye,
7345,Elymus virginicus var. virginicus,Great Smoky Mountains National Park,80,Vascular Plant,Virginia Wildrye,
7346,Elymus virginicus var. virginicus,Yellowstone National Park,264,Vascular Plant,Virginia Wildrye,
7347,Elymus virginicus var. virginicus,Yosemite National Park,112,Vascular Plant,Virginia Wildrye,
7348,Elytrigia repens var. repens,Bryce National Park,107,Vascular Plant,Witch Grass,
7349,Elytrigia repens var. repens,Great Smoky Mountains National Park,97,Vascular Plant,Witch Grass,
7350,Elytrigia repens var. repens,Yellowstone National Park,243,Vascular Plant,Witch Grass,
7351,Elytrigia repens var. repens,Yosemite National Park,143,Vascular Plant,Witch Grass,
7352,Empidonax alnorum,Bryce National Park,85,Bird,Alder Flycatcher,
7353,Empidonax alnorum,Great Smoky Mountains National Park,62,Bird,Alder Flycatcher,
7354,Empidonax alnorum,Yellowstone National Park,228,Bird,Alder Flycatcher,
7355,Empidonax alnorum,Yosemite National Park,143,Bird,Alder Flycatcher,
7356,Empidonax difficilis,Bryce National Park,98,Bird,Pacific-Slope Flycatcher,
7357,Empidonax difficilis,Great Smoky Mountains National Park,93,Bird,Pacific-Slope Flycatcher,
7358,Empidonax difficilis,Yellowstone National Park,261,Bird,Pacific-Slope Flycatcher,
7359,Empidonax difficilis,Yosemite National Park,160,Bird,Pacific-Slope Flycatcher,
7360,Empidonax flaviventris,Bryce National Park,89,Bird,Yellow-Bellied Flycatcher,
7361,Empidonax flaviventris,Great Smoky Mountains National Park,82,Bird,Yellow-Bellied Flycatcher,
7362,Empidonax flaviventris,Yellowstone National Park,266,Bird,Yellow-Bellied Flycatcher,
7363,Empidonax flaviventris,Yosemite National Park,182,Bird,Yellow-Bellied Flycatcher,
7364,Empidonax hammondii,Bryce National Park,111,Bird,Hammond's Flycatcher,
7365,Empidonax hammondii,Great Smoky Mountains National Park,54,Bird,Hammond's Flycatcher,
7366,Empidonax hammondii,Yellowstone National Park,275,Bird,Hammond's Flycatcher,
7367,Empidonax hammondii,Yosemite National Park,153,Bird,Hammond's Flycatcher,
7368,Empidonax minimus,Bryce National Park,97,Bird,Least Flycatcher,
7369,Empidonax minimus,Great Smoky Mountains National Park,47,Bird,Least Flycatcher,
7370,Empidonax minimus,Yellowstone National Park,257,Bird,Least Flycatcher,
7371,Empidonax minimus,Yosemite National Park,120,Bird,Least Flycatcher,
7372,Empidonax oberholseri,Bryce National Park,79,Bird,Dusky Flycatcher,
7373,Empidonax oberholseri,Great Smoky Mountains National Park,48,Bird,Dusky Flycatcher,
7374,Empidonax oberholseri,Yellowstone National Park,214,Bird,Dusky Flycatcher,
7375,Empidonax oberholseri,Yosemite National Park,133,Bird,Dusky Flycatcher,
7376,Empidonax occidentalis,Bryce National Park,128,Bird,Cordilleran Flycatcher,
7377,Empidonax occidentalis,Great Smoky Mountains National Park,42,Bird,Cordilleran Flycatcher,
7378,Empidonax occidentalis,Yellowstone National Park,237,Bird,Cordilleran Flycatcher,
7379,Empidonax occidentalis,Yosemite National Park,135,Bird,Cordilleran Flycatcher,
7380,Empidonax traillii,Bryce National Park,109,Bird,Willow Flycatcher,Species of Concern
7381,Empidonax traillii,Great Smoky Mountains National Park,94,Bird,Willow Flycatcher,Species of Concern
7382,Empidonax traillii,Yellowstone National Park,229,Bird,Willow Flycatcher,Species of Concern
7383,Empidonax traillii,Yosemite National Park,121,Bird,Willow Flycatcher,Species of Concern
7384,Empidonax virescens,Bryce National Park,96,Bird,Acadian Flycatcher,
7385,Empidonax virescens,Great Smoky Mountains National Park,70,Bird,Acadian Flycatcher,
7386,Empidonax virescens,Yellowstone National Park,247,Bird,Acadian Flycatcher,
7387,Empidonax virescens,Yosemite National Park,136,Bird,Acadian Flycatcher,
7388,Empidonax wrightii,Bryce National Park,208,Bird,"Gray Flycatcher, Grey Flycatcher",
7389,Empidonax wrightii,Great Smoky Mountains National Park,153,Bird,"Gray Flycatcher, Grey Flycatcher",
7390,Empidonax wrightii,Yellowstone National Park,452,Bird,"Gray Flycatcher, Grey Flycatcher",
7391,Empidonax wrightii,Yosemite National Park,267,Bird,"Gray Flycatcher, Grey Flycatcher",
7392,Ensatina eschscholtzii platensis,Bryce National Park,89,Amphibian,Sierra Nevada Ensatina,
7393,Ensatina eschscholtzii platensis,Great Smoky Mountains National Park,70,Amphibian,Sierra Nevada Ensatina,
7394,Ensatina eschscholtzii platensis,Yellowstone National Park,270,Amphibian,Sierra Nevada Ensatina,
7395,Ensatina eschscholtzii platensis,Yosemite National Park,173,Amphibian,Sierra Nevada Ensatina,
7396,Ensatina eschscholtzii xanthoptica,Bryce National Park,92,Amphibian,Yellow-Eyed Ensatina,
7397,Ensatina eschscholtzii xanthoptica,Great Smoky Mountains National Park,71,Amphibian,Yellow-Eyed Ensatina,
7398,Ensatina eschscholtzii xanthoptica,Yellowstone National Park,268,Amphibian,Yellow-Eyed Ensatina,
7399,Ensatina eschscholtzii xanthoptica,Yosemite National Park,133,Amphibian,Yellow-Eyed Ensatina,
7400,Entodon brevisetus,Bryce National Park,119,Nonvascular Plant,Entodon Moss,
7401,Entodon brevisetus,Great Smoky Mountains National Park,65,Nonvascular Plant,Entodon Moss,
7402,Entodon brevisetus,Yellowstone National Park,235,Nonvascular Plant,Entodon Moss,
7403,Entodon brevisetus,Yosemite National Park,167,Nonvascular Plant,Entodon Moss,
7404,Entodon cladorrhizans,Bryce National Park,90,Nonvascular Plant,Entodon Moss,
7405,Entodon cladorrhizans,Great Smoky Mountains National Park,62,Nonvascular Plant,Entodon Moss,
7406,Entodon cladorrhizans,Yellowstone National Park,273,Nonvascular Plant,Entodon Moss,
7407,Entodon cladorrhizans,Yosemite National Park,135,Nonvascular Plant,Entodon Moss,
7408,Entodon concinnus,Bryce National Park,86,Nonvascular Plant,Entodon Moss,
7409,Entodon concinnus,Great Smoky Mountains National Park,80,Nonvascular Plant,Entodon Moss,
7410,Entodon concinnus,Yellowstone National Park,289,Nonvascular Plant,Entodon Moss,
7411,Entodon concinnus,Yosemite National Park,132,Nonvascular Plant,Entodon Moss,
7412,Entodon macropodus,Bryce National Park,94,Nonvascular Plant,Entodon Moss,
7413,Entodon macropodus,Great Smoky Mountains National Park,40,Nonvascular Plant,Entodon Moss,
7414,Entodon macropodus,Yellowstone National Park,216,Nonvascular Plant,Entodon Moss,
7415,Entodon macropodus,Yosemite National Park,152,Nonvascular Plant,Entodon Moss,
7416,Entodon seductrix,Bryce National Park,91,Nonvascular Plant,Seductive Entodon Moss,
7417,Entodon seductrix,Great Smoky Mountains National Park,74,Nonvascular Plant,Seductive Entodon Moss,
7418,Entodon seductrix,Yellowstone National Park,233,Nonvascular Plant,Seductive Entodon Moss,
7419,Entodon seductrix,Yosemite National Park,165,Nonvascular Plant,Seductive Entodon Moss,
7420,Entodon sullivantii,Bryce National Park,85,Nonvascular Plant,Sullivant's Entodon Moss,
7421,Entodon sullivantii,Great Smoky Mountains National Park,64,Nonvascular Plant,Sullivant's Entodon Moss,
7422,Entodon sullivantii,Yellowstone National Park,237,Nonvascular Plant,Sullivant's Entodon Moss,
7423,Entodon sullivantii,Yosemite National Park,165,Nonvascular Plant,Sullivant's Entodon Moss,
7424,Ephemerum spinulosum,Bryce National Park,103,Nonvascular Plant,Ephemerum Moss,
7425,Ephemerum spinulosum,Great Smoky Mountains National Park,53,Nonvascular Plant,Ephemerum Moss,
7426,Ephemerum spinulosum,Yellowstone National Park,287,Nonvascular Plant,Ephemerum Moss,
7427,Ephemerum spinulosum,Yosemite National Park,152,Nonvascular Plant,Ephemerum Moss,
7428,Epifagus virginiana,Bryce National Park,80,Vascular Plant,Beechdrops,
7429,Epifagus virginiana,Great Smoky Mountains National Park,97,Vascular Plant,Beechdrops,
7430,Epifagus virginiana,Yellowstone National Park,249,Vascular Plant,Beechdrops,
7431,Epifagus virginiana,Yosemite National Park,164,Vascular Plant,Beechdrops,
7432,Epigaea repens,Bryce National Park,98,Vascular Plant,Trailing Arbutus,
7433,Epigaea repens,Great Smoky Mountains National Park,81,Vascular Plant,Trailing Arbutus,
7434,Epigaea repens,Yellowstone National Park,234,Vascular Plant,Trailing Arbutus,
7435,Epigaea repens,Yosemite National Park,160,Vascular Plant,Trailing Arbutus,
7436,Epilobium anagallidifolium,Bryce National Park,94,Vascular Plant,"Alpine Willowherb, Alpine Willowweed, Pimpernel Willowherb",
7437,Epilobium anagallidifolium,Great Smoky Mountains National Park,115,Vascular Plant,"Alpine Willowherb, Alpine Willowweed, Pimpernel Willowherb",
7438,Epilobium anagallidifolium,Yellowstone National Park,279,Vascular Plant,"Alpine Willowherb, Alpine Willowweed, Pimpernel Willowherb",
7439,Epilobium anagallidifolium,Yosemite National Park,134,Vascular Plant,"Alpine Willowherb, Alpine Willowweed, Pimpernel Willowherb",
7440,Epilobium angustifolium ssp. circumvagum,Bryce National Park,122,Vascular Plant,Fireweed,
7441,Epilobium angustifolium ssp. circumvagum,Great Smoky Mountains National Park,91,Vascular Plant,Fireweed,
7442,Epilobium angustifolium ssp. circumvagum,Yellowstone National Park,269,Vascular Plant,Fireweed,
7443,Epilobium angustifolium ssp. circumvagum,Yosemite National Park,149,Vascular Plant,Fireweed,
